"movie_odid","display_name","release_date","total_box_office","local_box_office","opening_weekend_revenue","opening_weekend_theaters","average(High (F))","average(Low (F))","average(Precip (in.))","average(Normal High (F))","average(Normal Low (F))","average(Normal Precip (in.))","Opening Percentage"
122200100,"Mary Queen of Scots",1/18/19 12:00 AM,330806,294218.0,114255,42,52.0,42.0,0.105,56.0,43.0,0.005,34.53836992073904
181370100,"How to Train Your Dragon: The Hidden World",2/22/19 12:00 AM,1064968,78921.0,246330,99,70.5,49.5,0.0,59.0,44.5,0.005,23.130272458890783
202840100,"Captain Marvel",3/6/19 12:00 AM,1992426,1628410.0,548127,101,58.0,50.0,1.355,59.5,45.5,0.0,27.510532386146338
217230100,"Vice",2/15/19 12:00 AM,540151,480303.0,146977,57,64.5,48.5,0.0,58.0,44.0,0.005,27.210354141712223
226230100,"Dumbo",3/28/19 12:00 AM,1678766,1505853.0,344065,136,73.5,49.5,0.0,62.5,48.5,0.005,20.49511367278108
229310100,"The LEGO Movie 2: The Second Part",3/1/19 12:00 AM,427418,383351.0,90193,92,61.5,49.0,0.0,59.5,45.5,0.155,21.101825379371014
239530100,"The Sisters Brothers",2/22/19 12:00 AM,24414,21714.0,12863,24,70.5,49.5,0.0,59.0,44.5,0.005,52.68698287867617
241260100,"Drunk Parents",3/8/19 12:00 AM,93464,83323.0,41211,39,60.5,47.5,0.015,59.5,46.5,0.005,44.092912779251904
245780100,"Dark Crimes",1/4/19 12:00 AM,4588,4170.0,2107,6,57.5,41.0,0.0,56.0,43.5,0.005,45.92414995640802
263250100,"Glass",1/18/19 12:00 AM,823385,723755.0,294104,85,52.0,42.0,0.105,56.0,43.0,0.005,35.71889213429926
263650100,"Alita: Battle Angel",2/15/19 12:00 AM,1052414,938227.0,383457,79,64.5,48.5,0.0,58.0,44.0,0.005,36.435946310102295
268090100,"Replicas",3/15/19 12:00 AM,164390,145419.0,68109,45,67.5,41.5,0.0,60.5,47.0,0.0,41.43135227203601
273760100,"The Old Man and the Gun",1/4/19 12:00 AM,201120,177328.0,52217,33,57.5,41.0,0.0,56.0,43.5,0.005,25.96310660302307
279420100,"Snezhnaya koroleva 3. Ogon i led",1/25/19 12:00 AM,125237,112538.0,38158,53,65.0,46.0,0.0,56.5,43.0,0.0,30.468631474723924
281700100,"Holmes & Watson",1/3/19 12:00 AM,202827,180009.0,77899,42,55.0,39.0,0.0,56.0,43.5,0.0,38.40662239248226
289540100,"Captive State",3/29/19 12:00 AM,73198,65622.0,31824,41,71.5,48.5,0.0,62.5,48.5,0.0,43.47659772124921
