"movie_odid","display_name","territory","release_date","total_box_office","currency","local_box_office","opening_weekend_revenue","opening_weekend_theaters","maximum_theaters","theatrical_engagements","average(High (F))","average(Low (F))","average(Precip (in.))","average(Normal High (F))","average(Normal Low (F))","average(Normal Precip (in.))","Opening Percentage"
4490100,"Schindler’s List","United Kingdom",1/25/19 12:00 AM,39190,"£ - Pound Sterling",29745.0,39190,206,206,206,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
34640100,"The Great Escape","United Kingdom",3/22/19 12:00 AM,228090,"£ - Pound Sterling",172550.0,228090,353,353,353,53.0,46.333333333333336,0.006666666666666667,50.0,38.333333333333336,0.0,100.0
62470100,"Heat and Dust","United Kingdom",3/8/19 12:00 AM,11610,"£ - Pound Sterling",8979.0,1538,1,2,8,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,13.247200689061152
65590100,"Professione: reporter","United Kingdom",1/4/19 12:00 AM,17160,"£ - Pound Sterling",13469.0,17160,8,8,8,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
122200100,"Mary Queen of Scots","United Kingdom",1/18/19 12:00 AM,12111452,"£ - Pound Sterling",9290695.0,2685618,499,548,2850,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,22.174203390311913
181370100,"How to Train Your Dragon: The Hidden World","United Kingdom",2/1/19 12:00 AM,25778709,"£ - Pound Sterling",2.0262065E7,6970601,556,646,6166,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,27.040147743628278
202840100,"Captain Marvel","United Kingdom",3/8/19 12:00 AM,51792440,"£ - Pound Sterling",4.0771009E7,16588603,655,655,4511,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,32.02900461920697
226230100,"Dumbo","United Kingdom",3/29/19 12:00 AM,33126125,"£ - Pound Sterling",2.5142729E7,7919691,666,697,6006,58.0,34.666666666666664,0.0,51.0,39.0,0.0,23.907689172820547
229310100,"The LEGO Movie 2: The Second Part","United Kingdom",2/8/19 12:00 AM,23607835,"£ - Pound Sterling",1.8588809E7,5194943,572,661,5119,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,22.00516481075033
235660100,"The White Crow","United Kingdom",3/22/19 12:00 AM,1589081,"£ - Pound Sterling",1247270.0,432250,88,139,468,53.0,46.333333333333336,0.006666666666666667,50.0,38.333333333333336,0.0,27.201256575341343
259240100,"Under The Silver Lake","United Kingdom",3/15/19 12:00 AM,18351,"£ - Pound Sterling",13820.0,18351,7,7,7,53.333333333333336,45.333333333333336,0.14666666666666667,48.666666666666664,37.333333333333336,0.0,100.0
263250100,"Glass","United Kingdom",1/18/19 12:00 AM,14282874,"£ - Pound Sterling",1.1046375E7,4415555,559,559,2596,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,30.91503152656811
263650100,"Alita: Battle Angel","United Kingdom",2/8/19 12:00 AM,12174200,"£ - Pound Sterling",9168390.0,4136291,534,537,2420,51.666666666666664,42.333333333333336,0.15666666666666668,43.666666666666664,35.666666666666664,0.0,33.97587521151287
272980100,"Lords of Chaos","United Kingdom",3/29/19 12:00 AM,58359,"£ - Pound Sterling",45135.0,30240,88,88,104,58.0,34.666666666666664,0.0,51.0,39.0,0.0,51.81720043181001
276250100,"Vice","United Kingdom",1/25/19 12:00 AM,5378242,"£ - Pound Sterling",4133717.0,1748964,505,505,1470,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,32.51925071426685
280830100,"Can You Ever Forgive Me?","United Kingdom",2/1/19 12:00 AM,1513798,"£ - Pound Sterling",1170469.0,678578,256,256,508,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,44.82619213395711
288100100,"The Kid Who Would Be King","United Kingdom",2/15/19 12:00 AM,4733417,"£ - Pound Sterling",3726146.0,857224,491,512,3280,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,18.11004608298825
289000100,"Welcome to Marwen","United Kingdom",1/4/19 12:00 AM,459505,"£ - Pound Sterling",357403.0,308518,328,328,431,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,67.14138039847228
